образовав: корень-образова;суффикс-в;
подпрыгиваю: приставка-под;корень-прыг;суффикс-ива;окончание-ю;
сваленными: корень-сва;суффикс-л;суффикс-енн;окончание-ыми;
настучал: корень-наст;суффикс-уч;суффикс-а;суффикс-л;
ночными: корень-ноч;суффикс-н;окончание-ыми;
назовут: приставка-на;корень-зов;окончание-ут;
доедают: приставка-до;корень-ед;суффикс-а;окончание-ют;
сабельник: корень-сабель;суффикс-ник;
отвисшим: приставка-от;корень-вис;суффикс-ш;окончание-им;
стесняетесь: корень-стесн;суффикс-я;окончание-ете;суффикс-сь;
соколиные: корень-сокол;суффикс-ин;окончание-ые;
терявшуюся: корень-тер;суффикс-яв;суффикс-ш;окончание-ую;суффикс-ся;
заметкой: корень-зам;суффикс-етк;окончание-ой;
красочное: корень-крас;суффикс-очн;окончание-ое;
срисовала: приставка-с;корень-рис;суффикс-ова;суффикс-л;окончание-а;
очевидцев: приставка-о;корень-че;суффикс-в;суффикс-ид;суффикс-ц;окончание-ев;
садовода: приставка-с;приставка-а;корень-довод;окончание-а;
залюбуешься: приставка-за;корень-люб;суффикс-у;окончание-ешь;суффикс-ся;
многоязычными: корень-многоязычн;окончание-ыми;
нанесло: корень-нан;суффикс-ес;суффикс-л;окончание-о;
проведённую: приставка-про;корень-вед;суффикс-ённ;окончание-ую;
восхищены: корень-восхищ;суффикс-ен;окончание-ы;
перебил: корень-пер;суффикс-еб;суффикс-и;суффикс-л;
рыская: корень-рыск;суффикс-а;суффикс-я;
выставлена: приставка-вы;корень-ставл;суффикс-ен;окончание-а;
помечтают: приставка-по;корень-мечт;суффикс-а;окончание-ют;
образовании: корень-образова;суффикс-н;суффикс-и;окончание-и;
исполнительного: корень-исполн;суффикс-итель;суффикс-н;окончание-ого;
беседку: корень-бесед;суффикс-к;окончание-у;
схвачу: приставка-с;корень-хвач;окончание-у;
налившую: приставка-на;корень-ли;суффикс-вш;окончание-ую;
истощённые: приставка-ис;корень-тощ;суффикс-ённ;окончание-ые;
наклей: приставка-на;корень-клей;
решётках: корень-решётк;окончание-ах;
покатится: корень-пока;суффикс-т;окончание-ит;суффикс-ся;
выстрогал: приставка-вы;корень-строг;суффикс-а;суффикс-л;
недосыпали: приставка-недо;корень-сып;суффикс-ал;окончание-и;
перевожу: приставка-пере;корень-вож;окончание-у;
падай: корень-пад;суффикс-а;суффикс-й;
переступают: приставка-пере;корень-ступ;суффикс-а;окончание-ют;
огуречная: корень-огуреч;суффикс-н;окончание-ая;
цивилизованно: корень-цивилизованно;
заблудившись: приставка-за;корень-блуд;суффикс-ивш;суффикс-и;суффикс-сь;
флюгерных: корень-флюгер;суффикс-н;окончание-ых;
козодоя: приставка-ко;корень-зод;суффикс-о;окончание-я;
раскалёнными: приставка-рас;корень-кал;суффикс-ённ;окончание-ыми;
производя: корень-производ;суффикс-я;
мылся: корень-мыл;суффикс-ся;
размышлений: приставка-раз;корень-мышл;суффикс-ен;окончание-ий;
пуговички: корень-пугов;суффикс-ич;суффикс-к;окончание-и;
закрутит: приставка-за;корень-крут;окончание-ит;
испёкшись: приставка-ис;корень-пёк;суффикс-ш;суффикс-и;суффикс-сь;
согревших: приставка-со;корень-гре;суффикс-вш;окончание-их;
взвесишь: приставка-вз;корень-вес;окончание-ишь;
ребёнку: корень-реб;суффикс-ёнк;окончание-у;
сопротивлении: корень-сопротивл;суффикс-ени;окончание-и;
накосил: приставка-на;корень-кос;суффикс-и;суффикс-л;
переезжаем: приставка-пере;корень-езж;суффикс-а;окончание-ем;
обуглившиеся: приставка-об;корень-угл;суффикс-ивш;окончание-ие;суффикс-ся;
продырявишь: корень-прод;суффикс-ыр;суффикс-яв;окончание-ишь;
астрологией: корень-астрологи;окончание-ей;
неопределённые: приставка-не;корень-определ;суффикс-ённ;окончание-ые;
притолоку: приставка-при;корень-толок;окончание-у;
водяников: корень-вод;суффикс-ян;суффикс-ик;окончание-ов;
победителя: корень-побед;суффикс-ит;суффикс-ел;окончание-я;
помещавшимся: корень-помещ;суффикс-авш;окончание-им;суффикс-ся;
семенем: корень-семен;окончание-ем;
платочкам: корень-платоч;суффикс-к;окончание-ам;
комендантского: корень-коменд;суффикс-ант;суффикс-ск;окончание-ого;
партии: корень-парти;окончание-и;
фарфоровую: корень-фарфор;суффикс-ов;окончание-ую;
поворковали: приставка-по;корень-ворк;суффикс-ова;суффикс-л;окончание-и;
дарило: корень-дари;суффикс-л;окончание-о;
поскользнувшемуся: приставка-по;корень-скольз;суффикс-ну;суффикс-вш;окончание-ему;суффикс-ся;
крайнем: корень-крайн;окончание-ем;
слетаю: корень-сле;суффикс-т;суффикс-а;окончание-ю;
потухла: корень-пот;суффикс-ух;суффикс-л;окончание-а;
складывала: корень-склад;суффикс-ыва;суффикс-л;окончание-а;
крайнее: корень-крайн;окончание-ее;
здравствуют: корень-здравств;суффикс-у;окончание-ют;
улавливает: приставка-у;корень-лавл;суффикс-ива;окончание-ет;
складываются: корень-склад;суффикс-ыва;окончание-ют;суффикс-ся;
пролились: приставка-про;корень-лили;суффикс-сь;
прижившись: приставка-при;корень-жив;суффикс-ш;суффикс-и;суффикс-сь;
согнутой: приставка-с;корень-огн;суффикс-у;суффикс-т;окончание-ой;
воробьятам: корень-воробь;суффикс-ят;окончание-ам;
ласкался: корень-ласк;суффикс-а;суффикс-л;суффикс-ся;
распри: корень-распр;окончание-и;
разрушительное: приставка-раз;корень-руш;суффикс-итель;суффикс-н;окончание-ое;
ругаясь: корень-руг;суффикс-а;суффикс-я;суффикс-сь;
подсекал: приставка-под;корень-сек;суффикс-а;суффикс-л;
ослаблено: приставка-о;корень-слабл;суффикс-ен;окончание-о;
адресованными: корень-адрес;суффикс-ова;суффикс-нн;окончание-ыми;
утопали: корень-утоп;суффикс-ал;окончание-и;
подключится: приставка-под;корень-ключ;окончание-ит;суффикс-ся;
преобразились: корень-преобраз;суффикс-и;суффикс-л;окончание-и;суффикс-сь;
утопала: корень-утоп;суффикс-ал;окончание-а;
отражавшейся: корень-отраж;суффикс-авш;окончание-ей;суффикс-ся;
неизлечимых: приставка-не;приставка-из;корень-леч;суффикс-им;окончание-ых;
утверждён: корень-утвержд;суффикс-ён;окончание-;
протекают: корень-прот;суффикс-ек;суффикс-а;окончание-ют;
двоими: корень-дв;суффикс-о;суффикс-им;суффикс-и;
лапонька: корень-лап;суффикс-оньк;окончание-а;
полотняные: корень-полотн;суффикс-ян;окончание-ые;
отпраздновал: приставка-от;корень-праздн;суффикс-ова;суффикс-л;
клеёнчатых: корень-кле;суффикс-ён;суффикс-чат;окончание-ых;
подушках: корень-подушк;окончание-ах;
исполинская: корень-исполин;суффикс-ск;окончание-ая;
приковала: приставка-при;корень-кова;суффикс-л;окончание-а;
покровительнице: корень-покрови;суффикс-тельн;суффикс-иц;окончание-е;
крой: корень-крой;
обеспечила: корень-обеспеч;суффикс-и;суффикс-л;окончание-а;
забойщиком: приставка-за;корень-бой;суффикс-щик;окончание-ом;
церковью: корень-церковь;окончание-ю;
отказавшееся: корень-отказ;суффикс-авш;окончание-ее;суффикс-ся;
воссоединяют: приставка-вос;приставка-со;корень-един;суффикс-я;окончание-ют;
видятся: корень-вид;окончание-ят;суффикс-ся;
аперитив: приставка-а;корень-пери;суффикс-т;суффикс-ив;окончание-;
горнострелковой: корень-горностре;суффикс-лк;суффикс-ов;окончание-ой;
разденьте: приставка-раз;корень-день;суффикс-т;суффикс-е;
прихватила: приставка-при;корень-хват;суффикс-и;суффикс-л;окончание-а;
наряда: корень-наряд;окончание-а;
медного: корень-мед;суффикс-н;окончание-ого;
сломаешь: приставка-с;корень-лом;суффикс-а;окончание-ешь;
притворялся: корень-притвор;суффикс-я;суффикс-л;суффикс-ся;
оттащу: приставка-от;корень-тащ;окончание-у;
проповедовали: корень-проповед;суффикс-ова;суффикс-л;окончание-и;
тряслась: корень-тряс;суффикс-л;окончание-а;суффикс-сь;
упитанная: приставка-у;корень-пита;суффикс-нн;окончание-ая;
обложенному: приставка-об;корень-лож;суффикс-енн;окончание-ому;
придвинув: приставка-при;корень-двин;суффикс-у;суффикс-в;
портишь: корень-порт;окончание-ишь;
кактусы: корень-кактус;окончание-ы;
выпавшего: приставка-вы;корень-пав;суффикс-ш;окончание-его;
вымытого: приставка-вы;корень-мыт;окончание-ого;
увяжешь: приставка-у;корень-вяж;окончание-ешь;
опрятней: корень-опрятн;суффикс-ей;
прокомментировав: приставка-про;корень-коммент;суффикс-ир;суффикс-ова;суффикс-в;
листаем: корень-лист;суффикс-а;окончание-ем;
автоматизации: корень-автомат;суффикс-из;суффикс-ац;окончание-ии;
секундой: корень-секунд;окончание-ой;
поддержит: приставка-под;корень-держ;окончание-ит;
припечёт: приставка-при;корень-печ;окончание-ёт;
раздую: приставка-раз;корень-ду;окончание-ю;
спасалась: корень-спас;суффикс-а;суффикс-л;окончание-а;суффикс-сь;
поселится: корень-пос;суффикс-ел;окончание-ит;суффикс-ся;
восхитительное: корень-восхит;суффикс-итель;суффикс-н;окончание-ое;
отозвалась: приставка-ото;корень-зва;суффикс-л;окончание-а;суффикс-сь;
сжалься: приставка-с;корень-жаль;суффикс-ся;
носившийся: корень-нос;суффикс-ивш;окончание-ий;суффикс-ся;
разрывающийся: приставка-раз;корень-рыв;суффикс-а;суффикс-ющ;окончание-ий;суффикс-ся;
подползла: приставка-под;корень-полз;суффикс-л;окончание-а;
расставят: корень-расста;суффикс-в;окончание-ят;
узких: корень-узк;окончание-их;
пропагандируют: корень-пропаганд;суффикс-ир;суффикс-у;окончание-ют;
рассвирепел: приставка-рас;корень-свиреп;суффикс-е;суффикс-л;
различали: приставка-раз;корень-лич;суффикс-ал;окончание-и;
затерявшейся: приставка-за;корень-тер;суффикс-яв;суффикс-ш;окончание-ей;суффикс-ся;
превратило: корень-преврат;суффикс-и;суффикс-л;окончание-о;
отодвинулись: приставка-ото;корень-двин;суффикс-у;суффикс-л;окончание-и;суффикс-сь;
превратили: корень-преврат;суффикс-и;суффикс-л;окончание-и;
вскрываются: приставка-в;корень-скры;суффикс-ва;окончание-ют;суффикс-ся;
желтизне: корень-желт;суффикс-изн;окончание-е;
огласился: приставка-о;корень-глас;суффикс-и;суффикс-л;суффикс-ся;
докторская: корень-доктор;суффикс-ск;окончание-ая;
повоюет: приставка-по;корень-вою;окончание-ет;
изучивши: приставка-из;корень-уч;суффикс-ивш;суффикс-и;
бубни: корень-бубн;суффикс-и;
захолустная: корень-захолуст;суффикс-н;окончание-ая;
прогулявший: приставка-про;корень-гул;суффикс-яв;суффикс-ш;окончание-ий;
ширилась: корень-шир;суффикс-и;суффикс-л;окончание-а;суффикс-сь;
усталыми: корень-уста;суффикс-л;окончание-ыми;
выбирающий: приставка-вы;корень-бир;суффикс-а;суффикс-ющ;окончание-ий;
пошевеливали: приставка-по;корень-шевел;суффикс-ива;суффикс-л;окончание-и;
переводи: приставка-пере;корень-вод;суффикс-и;
частоте: корень-част;суффикс-от;окончание-е;
откровенные: корень-откровенн;окончание-ые;
оптимизма: корень-оптим;суффикс-изм;окончание-а;
верёвку: корень-верёвк;окончание-у;
обессмертил: приставка-обес;корень-смерт;суффикс-и;суффикс-л;
отключат: приставка-от;корень-ключ;окончание-ат;
словарных: корень-словар;суффикс-н;окончание-ых;
запомнившийся: приставка-за;корень-помн;суффикс-ивш;окончание-ий;суффикс-ся;
обычная: корень-обычн;окончание-ая;
балладе: корень-баллад;окончание-е;
именуемое: корень-именуем;окончание-ое;
конфисковал: корень-конфиск;суффикс-ова;суффикс-л;
длительным: корень-дл;суффикс-итель;суффикс-н;окончание-ым;
основанное: корень-основ;суффикс-анн;окончание-ое;
сокрушающими: приставка-со;корень-круш;суффикс-а;суффикс-ющ;окончание-ими;
прольёт: приставка-про;корень-ль;окончание-ёт;
эолова: корень-эол;суффикс-ов;окончание-а;
невольной: приставка-не;корень-воль;суффикс-н;окончание-ой;
беспрекословное: приставка-бес;корень-прекослов;суффикс-н;окончание-ое;
безоговорочной: приставка-безо;корень-говор;суффикс-очн;окончание-ой;
безоговорочном: приставка-безо;корень-говор;суффикс-очн;окончание-ом;
оглянутся: приставка-о;корень-гля;суффикс-н;окончание-ут;суффикс-ся;
высыпьте: приставка-вы;корень-сыпь;суффикс-т;суффикс-е;
наливаюсь: приставка-на;корень-лива;окончание-ю;суффикс-сь;
масленичной: корень-масл;суффикс-ени;суффикс-ч;суффикс-н;окончание-ой;
записался: приставка-за;корень-пис;суффикс-а;суффикс-л;суффикс-ся;
сонном: корень-сон;суффикс-н;окончание-ом;
напечатан: приставка-на;корень-печат;суффикс-ан;окончание-;
старшеклассником: корень-старш;суффикс-ек;суффикс-л;суффикс-ас;суффикс-сн;суффикс-ик;окончание-ом;
изломанного: приставка-из;корень-лом;суффикс-анн;окончание-ого;
опутываю: приставка-о;корень-пут;суффикс-ыва;окончание-ю;
старшеклассников: корень-старш;суффикс-ек;суффикс-л;суффикс-ас;суффикс-сн;суффикс-ик;окончание-ов;
будние: корень-будн;окончание-ие;
карлы: корень-карл;окончание-ы;
расхаживают: приставка-рас;корень-хаж;суффикс-ива;окончание-ют;
въедливая: приставка-въ;корень-ед;суффикс-лив;окончание-ая;
сигаретой: корень-сигар;суффикс-ет;окончание-ой;
скромных: корень-скромн;окончание-ых;
бассейны: корень-бассейн;окончание-ы;
проводах: приставка-про;корень-вод;окончание-ах;
сгрыз: приставка-с;корень-грыз;
сходили: приставка-с;корень-ход;суффикс-и;суффикс-л;окончание-и;
понаставил: приставка-по;корень-настав;суффикс-и;суффикс-л;
подстрижено: приставка-под;корень-стриж;суффикс-ен;окончание-о;
голосят: корень-голос;окончание-ят;
странную: корень-странн;окончание-ую;
клубничной: корень-клубн;суффикс-ичн;окончание-ой;
неплохое: приставка-не;корень-плох;окончание-ое;
препаратов: корень-препарат;окончание-ов;
клубничном: корень-клубн;суффикс-ичн;окончание-ом;
повеявший: приставка-по;корень-вея;суффикс-вш;окончание-ий;
подозрительному: корень-подозр;суффикс-итель;суффикс-н;окончание-ому;
поглощены: приставка-по;корень-глощ;суффикс-ен;окончание-ы;
лезете: корень-лез;окончание-ете;
тигрятами: корень-тигр;суффикс-ят;окончание-ами;
безотказно: корень-безотказно;
карете: корень-карет;окончание-е;
миллиметровая: приставка-милли;корень-метро;суффикс-в;окончание-ая;
торфа: корень-торф;окончание-а;
подвязалась: приставка-под;корень-вяз;суффикс-а;суффикс-л;окончание-а;суффикс-сь;
позовите: корень-поз;суффикс-овит;суффикс-е;
исписанных: приставка-ис;корень-пис;суффикс-анн;окончание-ых;
сожгли: приставка-со;корень-жг;суффикс-л;окончание-и;
сожгло: приставка-со;корень-жг;суффикс-л;окончание-о;
венчающий: корень-венч;суффикс-а;суффикс-ющ;окончание-ий;
затягивало: приставка-за;корень-тяг;суффикс-ива;суффикс-л;окончание-о;
затягивали: приставка-за;корень-тяг;суффикс-ива;суффикс-л;окончание-и;
содрогаясь: корень-содрог;суффикс-а;суффикс-я;суффикс-сь;
рассеянностью: приставка-рас;корень-се;суффикс-янн;суффикс-ость;окончание-ю;
заказываю: корень-заказ;суффикс-ыва;окончание-ю;
прыг: корень-прыг;
затягивала: приставка-за;корень-тяг;суффикс-ива;суффикс-л;окончание-а;
поклонимся: приставка-по;корень-клон;окончание-им;суффикс-ся;
завидущие: корень-завид;суффикс-ущ;окончание-ие;
получили: корень-получ;суффикс-и;суффикс-л;окончание-и;
перелазил: приставка-пере;корень-лаз;суффикс-и;суффикс-л;
получило: корень-получ;суффикс-и;суффикс-л;окончание-о;
вспомнят: приставка-вс;корень-помн;окончание-ят;
перелазив: приставка-пере;корень-лаз;суффикс-ив;
погрозили: приставка-по;корень-гроз;суффикс-и;суффикс-л;окончание-и;
галетами: корень-галет;окончание-ами;
скопленному: корень-скопл;суффикс-енн;окончание-ому;
воздушными: корень-воздуш;суффикс-н;окончание-ыми;
потрясая: приставка-по;корень-тряс;суффикс-а;суффикс-я;
оскаливает: приставка-о;корень-скал;суффикс-ива;окончание-ет;
савраска: корень-саврас;суффикс-к;окончание-а;
вращая: корень-вращ;суффикс-а;суффикс-я;
перекошенным: корень-перек;суффикс-ош;суффикс-енн;окончание-ым;
мшистая: корень-мш;суффикс-ист;окончание-ая;
остановит: корень-останов;окончание-ит;
благополучен: корень-благополуч;суффикс-ен;окончание-;
перекошенные: корень-перек;суффикс-ош;суффикс-енн;окончание-ые;
наборы: приставка-на;корень-бор;окончание-ы;
россы: корень-росс;окончание-ы;
коряги: корень-коряг;окончание-и;
запомню: приставка-за;корень-помн;окончание-ю;
лампочкой: корень-ламп;суффикс-очк;окончание-ой;
непрошены: приставка-не;корень-прош;суффикс-ен;окончание-ы;
преспокойным: приставка-пре;корень-спокойн;окончание-ым;
постелете: корень-пост;суффикс-ел;окончание-ете;
прекративши: корень-прекрат;суффикс-ивш;суффикс-и;
поищешь: приставка-по;корень-ищ;окончание-ешь;
разведывает: приставка-раз;корень-вед;суффикс-ыва;окончание-ет;
хранилища: корень-хран;суффикс-и;суффикс-л;суффикс-ищ;окончание-а;
саечка: корень-саеч;суффикс-к;окончание-а;
обленившийся: корень-обл;суффикс-ени;суффикс-вш;окончание-ий;суффикс-ся;
кисловатой: корень-кисл;суффикс-оват;окончание-ой;
пролеска: приставка-про;корень-лес;суффикс-к;окончание-а;
дневному: корень-дн;суффикс-евн;окончание-ому;
громаднейших: корень-громад;суффикс-н;суффикс-ейш;окончание-их;
ямщиками: корень-ям;суффикс-щик;окончание-ами;
прекращалось: корень-прекращ;суффикс-а;суффикс-л;окончание-о;суффикс-сь;
успехом: корень-успе;суффикс-х;окончание-ом;
пятёрку: корень-пят;суффикс-ёр;суффикс-к;окончание-у;
успехов: корень-успе;суффикс-х;окончание-ов;
зеленовато: корень-зелен;суффикс-оват;окончание-о;
рационализаторское: корень-рационал;суффикс-из;суффикс-атор;суффикс-ск;окончание-ое;
победим: корень-побед;окончание-им;
застывшими: приставка-за;корень-сты;суффикс-вш;окончание-ими;
заслонивший: приставка-за;корень-слон;суффикс-ивш;окончание-ий;
прелестнее: корень-прелест;суффикс-н;суффикс-е;суффикс-е;
свешивал: приставка-с;корень-веш;суффикс-ива;суффикс-л;
метали: корень-мет;суффикс-ал;окончание-и;
недооценивая: приставка-недо;приставка-о;корень-цен;суффикс-ива;суффикс-я;
покроя: приставка-по;корень-кро;окончание-я;
окончательны: корень-окон;суффикс-чат;суффикс-ель;суффикс-н;окончание-ы;
томное: корень-томн;окончание-ое;
расцветивши: приставка-рас;корень-цвет;суффикс-ивш;суффикс-и;
речках: корень-речк;окончание-ах;
островитянкой: корень-остров;суффикс-ит;суффикс-янк;окончание-ой;
наползают: приставка-на;корень-полз;суффикс-а;окончание-ют;
слезятся: корень-слез;окончание-ят;суффикс-ся;
завывает: корень-зав;суффикс-ыва;окончание-ет;
частичкой: корень-част;суффикс-ич;суффикс-к;окончание-ой;
недостоверность: приставка-не;корень-достоверн;суффикс-ость;окончание-;
расхлебаете: приставка-рас;корень-хлеб;суффикс-а;окончание-ете;
уподоблена: приставка-у;корень-подобл;суффикс-ен;окончание-а;
безрассудной: приставка-без;приставка-рас;корень-суд;суффикс-н;окончание-ой;
присылай: приставка-при;корень-сыл;суффикс-а;суффикс-й;
заколышет: приставка-за;корень-колыш;окончание-ет;
разливающаяся: приставка-раз;корень-лива;суффикс-ющ;окончание-ая;суффикс-ся;
позеленеешь: приставка-по;корень-зелен;суффикс-е;окончание-ешь;
приевшихся: корень-при;суффикс-евш;окончание-их;суффикс-ся;
танцевальная: корень-танц;суффикс-ева;суффикс-льн;окончание-ая;
дырку: корень-дыр;суффикс-к;окончание-у;
презрителен: корень-презр;суффикс-ит;суффикс-ел;суффикс-ен;окончание-;
остр: корень-остр;окончание-;
павшего: корень-пав;суффикс-ш;окончание-его;
завлекали: приставка-за;приставка-в;корень-лекал;окончание-и;
разгуливают: приставка-раз;корень-гул;суффикс-ива;окончание-ют;
подсунули: приставка-под;приставка-су;корень-нул;окончание-и;
неизбежную: приставка-не;корень-избеж;суффикс-н;окончание-ую;
неточности: приставка-не;корень-точн;суффикс-ост;окончание-и;
зорям: корень-зор;окончание-ям;
смешён: корень-смеш;суффикс-ён;окончание-;
выдававший: корень-выда;суффикс-ва;суффикс-вш;окончание-ий;
костяники: корень-кост;суффикс-ян;суффикс-ик;окончание-и;
обновляющий: приставка-об;корень-новл;суффикс-я;суффикс-ющ;окончание-ий;
означающий: приставка-о;корень-знач;суффикс-а;суффикс-ющ;окончание-ий;
улицу: корень-улиц;окончание-у;
доносящимися: корень-донос;суффикс-ящ;окончание-ими;суффикс-ся;
рассыпавшуюся: приставка-рас;корень-сып;суффикс-авш;окончание-ую;суффикс-ся;
сгорали: приставка-с;корень-горал;окончание-и;
означающим: приставка-о;корень-знач;суффикс-а;суффикс-ющ;окончание-им;
чернозёма: корень-чернозёма;
устойчивых: приставка-у;корень-стой;суффикс-чив;окончание-ых;
замораживает: приставка-за;корень-мораж;суффикс-ива;окончание-ет;
развороченных: приставка-раз;корень-вороч;суффикс-енн;окончание-ых;
играемому: корень-играем;окончание-ому;
разъездами: приставка-раз;корень-ъезд;окончание-ами;
пожилому: корень-пожил;окончание-ому;
зубровой: корень-зубр;суффикс-ов;окончание-ой;
теоретическими: корень-теор;суффикс-ет;суффикс-ическ;окончание-ими;
интересуют: корень-интерес;суффикс-у;окончание-ют;
гарантией: корень-гаранти;окончание-ей;
ворчите: корень-ворч;окончание-ите;
сбитое: приставка-с;корень-бит;окончание-ое;
сыны: корень-сын;окончание-ы;
вылитой: приставка-вы;корень-лит;окончание-ой;
понесут: корень-пон;суффикс-ес;окончание-ут;
мышиной: корень-мыш;суффикс-ин;окончание-ой;
необитаемые: приставка-не;приставка-оби;корень-таем;окончание-ые;
орденов: корень-орден;окончание-ов;
котятам: корень-кот;суффикс-ят;окончание-ам;
нагромождения: приставка-на;корень-громожд;суффикс-ен;окончание-ия;
обсуждаем: приставка-об;корень-сужд;суффикс-а;окончание-ем;
лившихся: корень-ли;суффикс-вш;окончание-их;суффикс-ся;
необитаемым: приставка-не;приставка-оби;корень-таем;окончание-ым;
потребностью: корень-потреб;суффикс-н;суффикс-ость;окончание-ю;
открывавшейся: приставка-от;корень-кры;суффикс-ва;суффикс-вш;окончание-ей;суффикс-ся;
запотел: корень-зап;суффикс-от;суффикс-е;суффикс-л;
покончила: приставка-по;корень-конч;суффикс-и;суффикс-л;окончание-а;
судне: корень-суд;суффикс-н;окончание-е;
выпрямляла: приставка-вы;корень-прямл;суффикс-я;суффикс-л;окончание-а;
бушующая: корень-бу;суффикс-ш;суффикс-у;суффикс-ющ;окончание-ая;
концу: корень-конц;окончание-у;
закреплялись: приставка-за;корень-крепл;суффикс-я;суффикс-л;окончание-и;суффикс-сь;
затушёвывают: приставка-за;корень-тушёв;суффикс-ыва;окончание-ют;
златогривых: корень-златогр;суффикс-ив;окончание-ых;
содрогнувшемся: корень-содрог;суффикс-ну;суффикс-вш;окончание-ем;суффикс-ся;
васильков: корень-васильк;окончание-ов;
тускнеющий: корень-туск;суффикс-н;суффикс-е;суффикс-ющ;окончание-ий;
церковно: корень-церков;суффикс-н;окончание-о;
озираемый: корень-озираем;окончание-ый;
затевал: корень-зате;суффикс-ва;суффикс-л;
дуну: корень-ду;суффикс-н;окончание-у;
простосердечен: приставка-про;корень-стосерд;суффикс-еч;суффикс-ен;окончание-;
забрасываю: приставка-за;корень-брас;суффикс-ыва;окончание-ю;
разоряйте: корень-разор;суффикс-яй;суффикс-т;суффикс-е;
опустелая: корень-опус;суффикс-тел;окончание-ая;
девятым: корень-девят;окончание-ым;
пышную: корень-пышн;окончание-ую;
обламывают: корень-обл;суффикс-ам;суффикс-ыва;окончание-ют;
навешанное: приставка-на;корень-веш;суффикс-анн;окончание-ое;
победи: корень-побед;суффикс-и;
подвальной: корень-подваль;суффикс-н;окончание-ой;
девочкам: корень-дев;суффикс-очк;окончание-ам;
допущенных: приставка-до;корень-пущ;суффикс-енн;окончание-ых;
клёцок: корень-клёц;суффикс-ок;окончание-;
овраге: корень-овраг;окончание-е;
заволновалась: приставка-за;корень-волн;суффикс-ова;суффикс-л;окончание-а;суффикс-сь;
оврага: корень-овраг;окончание-а;
занятости: корень-заня;суффикс-т;суффикс-ост;окончание-и;
приподнятые: приставка-при;корень-подня;суффикс-т;окончание-ые;
удивляем: приставка-у;корень-дивл;суффикс-я;окончание-ем;
вплеталась: приставка-в;корень-плет;суффикс-а;суффикс-л;окончание-а;суффикс-сь;
поливайте: корень-поли;суффикс-ва;суффикс-й;суффикс-т;суффикс-е;
ленившийся: корень-лен;суффикс-ивш;окончание-ий;суффикс-ся;
вcкопать: приставка-вc;корень-коп;суффикс-а;суффикс-ть;
наделил: корень-наде;суффикс-л;суффикс-и;суффикс-л;
влезай: приставка-в;корень-лез;суффикс-а;суффикс-й;
красивейшая: корень-крас;суффикс-ив;суффикс-ейш;окончание-ая;
горний: корень-горн;окончание-ий;
разменного: приставка-раз;корень-менн;окончание-ого;
выскочкой: приставка-вы;корень-скоч;суффикс-к;окончание-ой;
перечеркнув: корень-переч;суффикс-ерк;суффикс-ну;суффикс-в;
таможенники: корень-таможен;суффикс-ник;окончание-и;
тезисы: корень-тезис;окончание-ы;
загоняя: приставка-за;корень-гон;суффикс-я;суффикс-я;
наблюдательский: корень-наблюд;суффикс-ат;суффикс-ель;суффикс-ск;окончание-ий;
загонят: приставка-за;корень-гон;окончание-ят;
слышны: корень-слыш;суффикс-н;окончание-ы;
неширокого: приставка-не;корень-широк;окончание-ого;
исшагать: приставка-ис;корень-шаг;суффикс-а;суффикс-ть;
убравшийся: приставка-у;корень-брав;суффикс-ш;окончание-ий;суффикс-ся;
сжалишься: приставка-с;корень-жал;окончание-ишь;суффикс-ся;
усмотришь: приставка-у;корень-смотр;окончание-ишь;
заплетёшь: приставка-за;корень-плет;окончание-ёшь;
караваем: приставка-к;корень-арав;суффикс-а;окончание-ем;
оканчивающаяся: приставка-о;корень-канч;суффикс-ива;суффикс-ющ;окончание-ая;суффикс-ся;
тарелкой: корень-тарелк;окончание-ой;
толкует: корень-толк;суффикс-у;окончание-ет;
державно: корень-державно;
минувшем: корень-мин;суффикс-у;суффикс-вш;окончание-ем;
мур: корень-мур;окончание-;
мух: корень-мух;окончание-;
похрамывает: приставка-по;корень-храм;суффикс-ыва;окончание-ет;
вообрази: корень-вообраз;суффикс-и;
пожалевший: приставка-по;корень-жал;суффикс-евш;окончание-ий;
туи: корень-ту;окончание-и;
делась: корень-дел;окончание-а;суффикс-сь;
вернёт: корень-верн;окончание-ёт;
турки: корень-турк;окончание-и;
погостит: корень-погост;окончание-ит;
ветряные: корень-ветр;суффикс-ян;окончание-ые;
вздохнули: приставка-вз;корень-дох;суффикс-ну;суффикс-л;окончание-и;
вздохнуло: приставка-вз;корень-дох;суффикс-ну;суффикс-л;окончание-о;
накрой: приставка-на;корень-крой;
потрясающая: приставка-по;корень-тряс;суффикс-а;суффикс-ющ;окончание-ая;
чешуйчатая: корень-чешуй;суффикс-чат;окончание-ая;
итальянская: корень-италь;суффикс-ян;суффикс-ск;окончание-ая;
пригоршней: корень-пригоршн;окончание-ей;
призывней: приставка-при;корень-зыв;суффикс-н;суффикс-ей;
растоптаны: приставка-рас;корень-топт;суффикс-ан;окончание-ы;
папой: корень-пап;окончание-ой;
папок: корень-пап;суффикс-ок;окончание-;
особенную: корень-особ;суффикс-енн;окончание-ую;
перчинками: корень-перч;суффикс-инк;окончание-ами;
думающему: корень-дум;суффикс-а;суффикс-ющ;окончание-ему;
